gauss_par;   181;    16;      0.0702400
mm_seq;   186;    16;      0.0711120
mm_par;   186;    16;      0.0082520
gauss_seq;   186;    16;      0.0003830
gauss_par;   186;    16;      0.0768930
mm_seq;   191;    16;      0.0758370
mm_par;   191;    16;      0.0082450
gauss_seq;   191;    16;      0.0004390
gauss_par;   191;    16;      0.0719160
mm_seq;   196;    16;      0.0824410
mm_par;   196;    16;      0.0104670
gauss_seq;   196;    16;      0.0004220
gauss_par;   196;    16;      0.0740530
mm_seq;   201;    16;      0.0898140
mm_par;   201;    16;      0.0100910
gauss_seq;   201;    16;      0.0004420
gauss_par;   201;    16;      0.0908440
mm_seq;   206;    16;      0.0963590
mm_par;   206;    16;      0.0106530
gauss_seq;   206;    16;      0.0004620
gauss_par;   206;    16;      0.0911570
mm_seq;   211;    16;      0.1044220
mm_par;   211;    16;      0.0123830
gauss_seq;   211;    16;      0.0004850
gauss_par;   211;    16;      0.0869370
mm_seq;   216;    16;      0.1116130
mm_par;   216;    16;      0.0156730
gauss_seq;   216;    16;      0.0004920
gauss_par;   216;    16;      0.1020920
mm_seq;   221;    16;      0.1195210
mm_par;   221;    16;      0.0133140
gauss_seq;   221;    16;      0.0005390
gauss_par;   221;    16;      0.1004010
mm_seq;   226;    16;      0.1281330
mm_par;   226;    16;      0.0183330
gauss_seq;   226;    16;      0.0005290
gauss_par;   226;    16;      0.1321630
mm_seq;   231;    16;      0.1401000
mm_par;   231;    16;      0.0210960
gauss_seq;   231;    16;      0.0005450
gauss_par;   231;    16;      0.1310890
mm_seq;   236;    16;      0.1449500
mm_par;   236;    16;      0.0200380
gauss_seq;   236;    16;      0.0005670
gauss_par;   236;    16;      0.1177400
mm_seq;   241;    16;      0.1573090
mm_par;   241;    16;      0.0154680
gauss_seq;   241;    16;      0.0006130
gauss_par;   241;    16;      0.1224140
mm_seq;   246;    16;      0.1637060
mm_par;   246;    16;      0.0166670
gauss_seq;   246;    16;      0.0007570
gauss_par;   246;    16;      0.1194570
mm_seq;   251;    16;      0.1758890
mm_par;   251;    16;      0.0173410
gauss_seq;   251;    16;      0.0006460
gauss_par;   251;    16;      0.1438870
mm_seq;   256;    16;      0.2397070
mm_par;   256;    16;      0.0272210
gauss_seq;   256;    16;      0.0006490
gauss_par;   256;    16;      0.1332480
